,20_categories of 2 act_relu,20_categories of 2 baseline,20_categories of 2 bn_no,20_categories of 2 dropout_025,20_categories of 2 dropout_075,20_categories of 2 dropout_0,20_categories of 2 ds_11_31,20_categories of 2 filters_128,20_categories of 2 filters_32,20_categories of 2 filter_3_3,20_categories of 2 filter_7_3,20_categories of 2 layers_2,20_categories of 2 layers_4,20_categories of 2 maxpool_2_2,20_categories of 3 Three_cates,60_categories of 2 baseline
2011-02-28,3.3435467090655684,3.3248868393855298,5.112336037774207,3.627291994971828,8.970439609237353,4.234364586298527,3.541831704460528,5.315212110862751,6.037480989108179,6.045587867353404,5.7742259195294166,4.334007063476717,3.964774710492975,5.960710364594863,3.076047830500784,
2011-03-31,3.4294043741097093,3.408762411650778,5.254963997628889,3.7236223790465046,9.29423882413922,4.347859023726625,3.6344229389792,5.4420905023277335,6.207396956303964,6.23866135755597,5.926672684235643,4.4453222400435966,4.047200224654849,6.118378534164197,3.1414811459849905,3.253522950681735
2011-04-29,3.3464160779023446,3.3243754647325363,5.145359771399204,3.64478185890813,9.081994827637468,4.258412399348026,3.5575995130139613,5.354920058683103,6.018272843167449,6.160934740923674,5.838927066526859,4.358938568515409,3.957450735639867,6.047980865467081,3.0578130309850424,
2011-05-31,3.2478746809843355,3.224147607716198,5.029069195711611,3.551364869518653,9.02895073655584,4.152932307167434,3.468223121476582,5.210837971888227,5.833855020441437,5.974037561871822,5.680923260457663,4.208929139867352,3.82540937561856,5.835698934649572,2.954596640895008,2.8522413131451048
2011-06-30,3.167250155869071,3.140626187032556,4.913675676762476,3.4679223335924623,8.975405060289221,4.044135389231871,3.3905825565679937,5.080758454789408,5.815964273178573,5.824830131133795,5.556075681274197,4.092803616329616,3.736045262054049,5.716570064125727,2.8807800829892805,
2011-07-29,2.8090048839892745,2.789205169831009,4.402264174448205,3.08348738317199,8.0360400969609,3.609294847592645,3.0156801546989107,4.544268657971464,5.222424942184999,5.190927701413064,4.950983995339346,3.638326653447774,3.310498246945196,5.096899894374413,2.5599526605040848,2.641803589184889
2011-08-31,2.600789397860351,2.579462112725257,4.119455137186483,2.856849297747801,7.625578780168534,3.343522940349489,2.824207252503673,4.231872068934358,4.926855701172108,4.861534942618155,4.6697558483295785,3.397789791016625,3.102348687671961,4.800573075629727,2.354819516085054,
2011-09-30,3.005287035032449,2.9818294183269374,4.84031047472845,3.3067059031132566,9.0882707384617,3.870526848375986,3.2755323936731267,4.976357506913423,5.7908305234073625,5.7225950726687245,5.460765670474862,3.949748312086747,3.600183156047582,5.639351870072041,2.710255548245758,2.98146748727118
2011-10-31,2.8300455404822573,2.8063337742026984,4.568608114414385,3.1128507552526954,8.851029250362785,3.649740562409421,3.094258394237714,4.7009530970190365,5.579289872442385,5.412948797181635,5.158298548474402,3.7247333136783833,3.407792647150502,5.334870132210617,2.555019051662114,
2011-11-30,2.836270713705692,2.8099412718470536,4.618778013213624,3.1162044798656985,9.044382553341917,3.6765306219158713,3.12843442878846,4.733714335664324,5.324567600675371,5.426166971647101,5.155575137587594,3.737198198926528,3.4306994947269973,5.414948101668666,2.5624511118857805,3.341964451080981
2011-12-30,3.05741606269342,3.031457403226122,4.965417915972642,3.3614309713951585,10.209353795905932,3.9511697650312168,3.341339431959282,5.080642418470969,5.81391346089097,5.961648755188495,5.5935210625673575,4.036748227897656,3.682973861493251,5.8882454416976096,2.782217102037456,
2012-01-31,3.168935477114898,3.139815184986773,5.130281616722751,3.47918716867818,10.501087396923332,4.099325541870126,3.4447812059634977,5.249425785355064,5.963653094367359,6.184602956932188,5.782076605009949,4.1576490760505855,3.817480025592985,6.09160577667225,2.8827445781750427,3.4688883360594844
2012-02-29,3.240694939937939,3.2107660281740014,5.254142344418085,3.5593418461197635,10.752326279669862,4.198326320882485,3.492172730048113,5.3567685870397765,6.16975253175984,6.306002191823313,5.916160305587174,4.259454764823766,3.888762806727917,6.210278067565297,2.947834316034226,
2012-03-30,3.2087003451835563,3.1772476969309524,5.175355981699126,3.522070204189857,10.452073098440012,4.14871151885824,3.454429109565555,5.265979928397952,6.1109538941414,6.2289613163965125,5.852785792523519,4.187287787622495,3.850431715844948,6.129688995672523,2.9179931785518947,3.2270905983813907
2012-04-30,3.043944401394527,3.0096058808833317,4.916628971792057,3.342251464136758,9.87935010206166,3.934837532078879,3.3044166767038123,5.001523457764349,5.768005246908617,5.891139359992692,5.537456801539867,3.95806512671938,3.65880472705965,5.747612643527359,2.7609191064904617,
2012-05-31,3.0954401293729386,3.0607163973519462,5.006558859358438,3.402745475460117,10.094857196272006,4.017652182276168,3.345086502495276,5.095642224136676,5.860270725455558,5.97717075009808,5.63909711566667,4.034209473550269,3.739951371525413,5.85451955933467,2.8059855840338743,3.4543157560653794
2012-06-29,3.1044910336190408,3.0696350675449997,5.049012263533194,3.4147517691845515,10.78317288306683,4.048502954822255,3.365972231905189,5.119581492727598,5.93465529818205,6.126632973262657,5.752474531522772,4.061695083912587,3.7932340391849184,5.890295897041394,2.8151324618245543,
2012-07-31,3.187478197431021,3.1556378727015657,5.195498495546323,3.5106828647980546,11.292484508892697,4.170653431902919,3.4417245854771705,5.303640416191711,6.213521180576644,6.357249392445708,5.94706785499351,4.19181335921258,3.904832082059188,6.084270691545511,2.894493801798472,3.618309702464928
2012-08-31,3.315101331005897,3.282705728936988,5.382492143562892,3.657459937539476,11.718293811475371,4.33322272205299,3.61068854614184,5.511715991487905,6.510697580988409,6.633290391382111,6.177589923185274,4.342784159917791,4.057966544560428,6.318564693795918,3.0127385247087237,
2012-09-28,3.2551082482718194,3.2238466662453567,5.2703270361006105,3.589854224080694,11.620968844864754,4.253103536081549,3.553453887552299,5.398028439019369,6.382209141663747,6.514076065225441,6.062435968611595,4.251594523041091,3.9917400299589625,6.212749749153693,2.9582724917399204,3.626261538212834
2012-10-31,3.269589648483326,3.2352483769865072,5.32671766163163,3.592224451374639,11.579200579574582,4.283760884622466,3.558539423401255,5.427438814477542,6.42779135550675,6.534497356942654,6.056938453753105,4.250570432595941,4.019372520709408,6.221417045905371,2.971433911057209,
